color1,color2,message,couple,reaction,result
Rojo,Verde,positive,true,true,feliz
Rojo,Violeta,positive,true,true,feliz
Rojo,Amarillo,positive,true,true,feliz
Rojo,Añil,positive,true,true,feliz
Rojo,Naranja,positive,true,true,feliz
Rojo,Azul,positive,true,true,feliz
Rojo,Verde,negative,true,true,triste
Rojo,Violeta,negative,true,true,triste
Rojo,Amarillo,negative,true,true,triste
Rojo,Añil,negative,true,true,triste
Rojo,Naranja,negative,true,true,triste
Rojo,Azul,negative,true,true,triste
Rojo,Verde,positive,false,true,triste
Rojo,Violeta,positive,false,true,triste
Rojo,Amarillo,positive,false,true,triste
Rojo,Añil,positive,false,true,triste
Rojo,Naranja,positive,false,true,triste
Rojo,Azul,positive,false,true,triste
Rojo,Verde,negative,false,true,triste
Rojo,Violeta,negative,false,true,triste
Rojo,Amarillo,negative,false,true,triste
Rojo,Añil,negative,false,true,triste
Rojo,Naranja,negative,false,true,triste
Rojo,Azul,negative,false,true,triste
Rojo,Verde,positive,true,false,triste
Rojo,Violeta,positive,true,false,triste
Rojo,Amarillo,positive,true,false,triste
Rojo,Añil,positive,true,false,triste
Rojo,Naranja,positive,true,false,triste
Rojo,Azul,positive,true,false,triste
Rojo,Verde,negative,true,false,feliz
Rojo,Violeta,negative,true,false,feliz
Rojo,Amarillo,negative,true,false,feliz
Rojo,Añil,negative,true,false,feliz
Rojo,Naranja,negative,true,false,feliz
Rojo,Azul,negative,true,false,feliz
Rojo,Verde,positive,false,false,triste
Rojo,Violeta,positive,false,false,triste
Rojo,Amarillo,positive,false,false,triste
Rojo,Añil,positive,false,false,triste
Rojo,Naranja,positive,false,false,triste
Rojo,Azul,positive,false,false,triste
Rojo,Verde,negative,false,false,triste
Rojo,Violeta,negative,false,false,triste
Rojo,Amarillo,negative,false,false,triste
Rojo,Añil,negative,false,false,triste
Rojo,Naranja,negative,false,false,triste
Rojo,Azul,negative,false,false,triste
Amarillo,Verde,positive,true,true,feliz
Amarillo,Violeta,positive,true,true,feliz
Amarillo,Añil,positive,true,true,feliz
Amarillo,Naranja,positive,true,true,feliz
Amarillo,Azul,positive,true,true,feliz
Amarillo,Verde,negative,true,true,triste
Amarillo,Violeta,negative,true,true,triste
Amarillo,Añil,negative,true,true,triste
Amarillo,Naranja,negative,true,true,triste
Amarillo,Azul,negative,true,true,triste
Amarillo,Verde,positive,false,true,triste
Amarillo,Violeta,positive,false,true,triste
Amarillo,Añil,positive,false,true,triste
Amarillo,Naranja,positive,false,true,triste
Amarillo,Azul,positive,false,true,triste
Amarillo,Verde,negative,false,true,triste
Amarillo,Violeta,negative,false,true,triste
Amarillo,Añil,negative,false,true,triste
Amarillo,Naranja,negative,false,true,triste
Amarillo,Azul,negative,false,true,triste
Amarillo,Verde,positive,true,false,triste
Amarillo,Violeta,positive,true,false,triste
Amarillo,Añil,positive,true,false,triste
Amarillo,Naranja,positive,true,false,triste
Amarillo,Azul,positive,true,false,triste
Amarillo,Verde,negative,true,false,feliz
Amarillo,Violeta,negative,true,false,feliz
Amarillo,Añil,negative,true,false,feliz
Amarillo,Naranja,negative,true,false,feliz
Amarillo,Azul,negative,true,false,feliz
Amarillo,Verde,positive,false,false,triste
Amarillo,Violeta,positive,false,false,triste
Amarillo,Añil,positive,false,false,triste
Amarillo,Naranja,positive,false,false,triste
Amarillo,Azul,positive,false,false,triste
Amarillo,Verde,negative,false,false,triste
Amarillo,Violeta,negative,false,false,triste
Amarillo,Añil,negative,false,false,triste
Amarillo,Naranja,negative,false,false,triste
Amarillo,Azul,negative,false,false,triste
Verde,Amarillo,positive,true,true,feliz
Verde,Violeta,positive,true,true,feliz
Verde,Añil,positive,true,true,feliz
Verde,Naranja,positive,true,true,feliz
Verde,Azul,positive,true,true,feliz
Verde,Amarillo,negative,true,true,triste
